Codi_Barri,Id_aforament
65.0, 10001
71.0, 10002
65.0, 10005
72.0, 10007
72.0, 10008
73.0, 10009
21.0, 1001
73.0, 10010
73.0, 10011
73.0, 10012
70.0, 10013
70.0, 10014
65.0, 10015
65.0, 10017
73.0, 10018
68.0, 10019
19.0, 1002
20.0, 1003
20.0, 1004
19.0, 1005
20.0, 1006
20.0, 1007
21.0, 1008
21.0, 1009
19.0, 1010
19.0, 1011
21.0, 1012
21.0, 1013
24.0, 1014
8.0, 1015
21.0, 1016
20.0, 1017
21.0, 1018
21.0, 1021
21.0, 1022
21.0, 1026
21.0, 1027
20.0, 1029
20.0, 1030
20.0, 1031
20.0, 1032
20.0, 1033
37.0, 11001
37.0, 11002
37.0, 11003
43.0, 11004
28.0, 11005
28.0, 11006
28.0, 11007
43.0, 11008
35.0, 11009
43.0, 11010
43.0, 11011
21.0, 11012
21.0, 11013
23.0, 11014
23.0, 11015
28.0, 11018
28.0, 11019
28.0, 11020
27.0, 11021
28.0, 11022
28.0, 11023
28.0, 11024
28.0, 11025
28.0, 11026
23.0, 11027
23.0, 11028
25.0, 11030
28.0, 11031
28.0, 11033
28.0, 11034
44.0, 13001
44.0, 13002
43.0, 13003
43.0, 13004
35.0, 13006
62.0, 13007
44.0, 13008
45.0, 13009
35.0, 13010
35.0, 13011
44.0, 13012
46.0, 13013
46.0, 13014
46.0, 13015
45.0, 13016
48.0, 13017
48.0, 13018
35.0, 13019
59.0, 16001
59.0, 16002
59.0, 16003
59.0, 16004
57.0, 16006
57.0, 16007
70.0, 17001
70.0, 17002
69.0, 17003
69.0, 17004
68.0, 17005
68.0, 17006
71.0, 17007
68.0, 17008
71.0, 17009
9.0, 2001
19.0, 2002
15.0, 2003
19.0, 2004
9.0, 2005
9.0, 2006
9.0, 2008
9.0, 2009
19.0, 2011
20.0, 2012
19.0, 2013
15.0, 2014
9.0, 2016
18.0, 2017
18.0, 2018
19.0, 2020
18.0, 2021
19.0, 2022
19.0, 2023
17.0, 2024
17.0, 2025
18.0, 2026
18.0, 2027
9.0, 3003
9.0, 3004
9.0, 3006
15.0, 3007
15.0, 3008
13.0, 3009
10.0, 3010
16.0, 3011
10.0, 3012
8.0, 3013
10.0, 3014
10.0, 3015
11.0, 3016
13.0, 3017
10.0, 3018
10.0, 3020
15.0, 3021
11.0, 3022
10.0, 3024
11.0, 3026
11.0, 3027
11.0, 3028
10.0, 3029
10.0, 3030
10.0, 3031
10.0, 3032
10.0, 3033
11.0, 3034
11.0, 3036
8.0, 4001
8.0, 4002
8.0, 4003
8.0, 4004
7.0, 4005
8.0, 4006
7.0, 4007
8.0, 4008
5.0, 4009
7.0, 4010
8.0, 4011
8.0, 4012
5.0, 4013
8.0, 4014
8.0, 4015
66.0, 4016
8.0, 4017
66.0, 4018
5.0, 4019
5.0, 4020
8.0, 4021
7.0, 4022
8.0, 4023
7.0, 4026
8.0, 4027
8.0, 4028
8.0, 4029
71.0, 4030
7.0, 4031
6.0, 4032
8.0, 4033
10.0, 4034
8.0, 4035
26.0, 4036
5.0, 4037
5.0, 4038
7.0, 4039
7.0, 4040
7.0, 4041
7.0, 4042
31.0, 4043
7.0, 4044
7.0, 4045
7.0, 4046
7.0, 4047
7.0, 4049
7.0, 4050
7.0, 4051
7.0, 4052
7.0, 4053
5.0, 4054
5.0, 4055
64.0, 4057
7.0, 4058
7.0, 4059
5.0, 4060
7.0, 4061
7.0, 4062
7.0, 4063
7.0, 4064
7.0, 4065
7.0, 4068
7.0, 4069
10.0, 4070
8.0, 4071
8.0, 4072
7.0, 4073
6.0, 4076
5.0, 4077
7.0, 4079
7.0, 4080
7.0, 4081
5.0, 4082
5.0, 4083
5.0, 4084
64.0, 4085
7.0, 4086
8.0, 4087
8.0, 4088
8.0, 4089
8.0, 4090
7.0, 4091
8.0, 4092
8.0, 4093
8.0, 4094
8.0, 4095
8.0, 4096
7.0, 4097
7.0, 4098
7.0, 4099
2.0, 5001
4.0, 5002
4.0, 5003
4.0, 5004
4.0, 5005
3.0, 5006
3.0, 5007
3.0, 5008
4.0, 5009
2.0, 5010
7.0, 5011
7.0, 5012
1.0, 5014
4.0, 5015
4.0, 5016
4.0, 5017
4.0, 5018
4.0, 5020
1.0, 5024
1.0, 5025
4.0, 5026
66.0, 5027
11.0, 5028
1.0, 5029
6.0, 6002
6.0, 6003
32.0, 6004
32.0, 6005
64.0, 6006
32.0, 6007
32.0, 6008
34.0, 6009
34.0, 6010
33.0, 6011
33.0, 6012
33.0, 6013
33.0, 6014
35.0, 6015
33.0, 6016
33.0, 6017
63.0, 6018
63.0, 6019
31.0, 6020
6.0, 6021
6.0, 6022
6.0, 6023
30.0, 6024
6.0, 6025
32.0, 6026
33.0, 6029
30.0, 6030
34.0, 6031
44.0, 7001
61.0, 7003
65.0, 7004
63.0, 7005
63.0, 7006
65.0, 7007
61.0, 7008
63.0, 7009
45.0, 7011
52.0, 7014
52.0, 7015
61.0, 7016
65.0, 7017
60.0, 7018
60.0, 7019
44.0, 7020
64.0, 7021
52.0, 7022
60.0, 7023
45.0, 7024
45.0, 7025
60.0, 7026
60.0, 7027
60.0, 7028
52.0, 7029
52.0, 7030
43.0, 7031
43.0, 7032
65.0, 7033
61.0, 7034
63.0, 7035
60.0, 7036
64.0, 7037
64.0, 7038
26.0, 8001
26.0, 8002
27.0, 8003
26.0, 8004
26.0, 8005
26.0, 8006
24.0, 8008
25.0, 8009
23.0, 8010
27.0, 8011
24.0, 8012
24.0, 8013
24.0, 8014
23.0, 8015
23.0, 8016
26.0, 8017
26.0, 8018
26.0, 8019
27.0, 8020
30.0, 8021
30.0, 8022
23.0, 8023
24.0, 8026
31.0, 8027
24.0, 8028
24.0, 8031
27.0, 8032
23.0, 8033
28.0, 8034
23.0, 8035
23.0, 8036
26.0, 8037
31.0, 8038
31.0, 8039
23.0, 8040
19.0, 8041
25.0, 8042
23.0, 8043
23.0, 8044
25.0, 8045
25.0, 8046
23.0, 8047
23.0, 8048
23.0, 8049
23.0, 8050
23.0, 8051
21.0, 8052
23.0, 8053
23.0, 8054
67.0, 9001
67.0, 9002
67.0, 9003
66.0, 9004
67.0, 9005
67.0, 9006
67.0, 9007
67.0, 9008
67.0, 9009
67.0, 9010
9.0,4100
5.0,4102
7.0,4103
7.0,4104
9.0,4106
5.0,4108
45.0,7039
8.0, 20001
9.0, 20002
10.0, 20003
10.0, 20005
10.0, 20006
8.0, 20007
8.0, 20008
5.0, 20009
7.0, 20010
7.0, 20011
5.0, 20012
9.0, 20014
9.0, 20015
6.0, 20016
6.0, 20017
5.0, 20018
5.0, 20019
4.0, 20020
4.0, 20021
65.0, 20026
65.0, 20027
66.0, 20028
66.0, 20029
67.0, 20030
67.0, 20031
67.0, 20032
67.0, 20033
15.0, 20036
15.0, 20037
11.0, 20038
11.0, 20039
10.0, 20040
10.0, 20041
1.0, 20042
1.0, 20043
8.0, 20044
8.0, 20045
8.0, 20046
8.0, 20047
61.0, 20050
61.0, 20051
69.0, 20052
69.0, 20053
68.0, 20054
68.0, 20055
66.0, 20056
66.0, 20057
7.0, 20060
7.0, 20061
69.0, 20062
69.0, 20063
9.0, 20064
9.0, 20065
4.0, 20066
4.0, 20067
19.0, 20068
19.0, 20069
52.0, 20070
52.0, 20071
48.0, 20072
48.0, 20073
68.0, 20074
68.0, 20075
68.0, 20076
68.0, 20077
69.0, 20078
69.0, 20079
68.0, 20080
68.0, 20081
59.0, 20082
59.0, 20083
59.0, 20084
59.0, 20085
6.0, 20088
6.0, 20089
6.0, 20090
6.0, 20091
6.0, 20092
6.0, 20093
33.0, 20094
33.0, 20095
33.0, 20096
33.0, 20097
32.0, 20098
32.0, 20099
31.0, 20100
31.0, 20101
6.0, 20102
52.0, 20104
52.0, 20105
71.0, 20106
71.0, 20107
72.0, 20108
72.0, 20109
26.0, 20110
26.0, 20111
4.0, 20112
4.0, 20113
4.0, 20114
4.0, 20115
9.0, 20116
8.0, 20117
8.0, 20118
8.0, 20119
8.0, 20120
8.0, 20121
8.0, 20122
9.0, 20123
9.0, 20124
24.0, 20125
24.0, 20126
24.0, 20127
24.0, 20128
24.0, 20129
24.0, 20130
19.0, 20131
19.0, 20132
19.0, 20133
19.0, 20134
26.0, 20135
26.0, 20136
26.0, 20137
6.0, 20138
5.0, 20139
66.0, 20140
5.0, 20141
6.0, 20142
5.0, 20143
68.0, 20145
33.0, 20147
21.0, 20149
21.0, 20150
21.0, 20151
21.0, 20152
21.0, 20153
21.0, 20154
26.0, 20155
26.0, 20156
24.0, 20157
24.0, 20158
26.0, 20159
26.0, 20160
26.0, 20161
25.0, 20162
25.0, 20163
2.0, 20165
1.0, 20166
1.0, 20167
11.0, 20168
11.0, 20169
63.0, 20170
63.0, 20171
63.0, 20172
63.0, 20173
63.0, 20174
63.0, 20175
63.0, 20176
63.0, 20177
69.0, 20178
69.0, 20179
69.0, 20180
69.0, 20181
69.0, 20182
69.0, 20183
69.0, 20184
69.0, 20185
68.0, 20186
68.0, 20187
63.0, 20188
63.0, 20189
32.0, 20190
32.0, 20191
33.0, 20192
66.0, 20193
45.0, 20194
45.0, 20195
6.0, 20196
68.0, 20197
68.0, 20198
67.0, 20199
67.0, 20200
65.0, 20201
65.0, 20202
64.0, 20203
64.0, 20204
33.0, 20205
33.0, 20206
68.0, 20207
68.0, 20208
71.0, 20209
71.0, 20210
68.0, 20211
68.0, 20212
68.0, 20213
68.0, 20214
69.0, 20217
69.0, 20218
13.0, 20220
13.0, 20221
13.0, 20222
13.0, 20223
6.0, 20225
69.0, 20226
61.0, 20227
61.0, 20228
62.0, 20229
62.0, 20230
60.0, 20231
60.0, 20232
60.0, 20233
60.0, 20234
21.0, 20235
21.0, 20236
21.0, 20237
21.0, 20238
21.0, 20239
21.0, 20240
20.0, 20241
20.0, 20242
7.0, 20243
7.0, 20244
20.0, 20245
20.0, 20246
9.0,20309
65.0, 20247
65.0, 20248
61.0, 20249
61.0, 20250
65.0, 20251
65.0, 20252
9.0,20103
33.0,20219
72.0,20253
72.0,20254
10.0,20255
72.0,20256
72.0,20257
72.0,20258
72.0,20259
72.0,20260
72.0,20261
63.0,20262
63.0,20263
9.0,20264
9.0,20265
9.0,20266
9.0,20267
9.0,20268
9.0,20269
9.0,20271
9.0,20273
9.0,20274
9.0,20275
9.0,20276
9.0,20277
63.0,20278
20.0,20279
20.0,20280
9.0,20281
9.0,20282
7.0,20283
7.0,20284
7.0,20285
7.0,20286
7.0,20287
7.0,20288
7.0,20289
7.0,20290
5.0,20291
5.0,20292
5.0,20293
5.0,20294
5.0,20295
5.0,20296
21.0,20297
21.0,20298
21.0,20299
21.0,20300
9.0,20301
7.0,20302
7.0,20303
7.0,20304
7.0,20305
6.0,20306
63.0,20307
7.0,20308
7.0,20310
10.0,20311
9.0,20312
7.0,20313
7.0,20314
7.0,20315
7.0,20316
7.0,20317
7.0,20318
7.0,20319
7.0,20320
7.0,20321
7.0,20322
10.0,20323
10.0,20324
9.0,20325
9.0,20326
9.0,20327
9.0,20328
7.0,20329
7.0,20330
7.0,20331
63.0,20332
6.0,20333
6.0,20334
7.0,20336
7.0,20337
7.0,20338
7.0,20339
7.0,20340
7.0,20341
7.0,20342
7.0,20343
7.0,20344
7.0,20345
35.0,20346
35.0,20347
35.0,20348
35.0,20349
35.0,20351
63.0,20352
63.0,20355
63.0,20356
63.0,20357
63.0,20358
63.0,20359
63.0,20360
63.0,20363
63.0,20364
63.0,20365
63.0,20366
63.0,20367
63.0,20368
63.0,20369
10.0,20370
10.0,20371
10.0,20372
10.0,20373
61.0,20384
61.0,20385
61.0,20386
61.0,20387
60.0,20388
60.0,20389
65.0,20390
65.0,20391
28.0,20397
26.0,20398
26.0,20399
26.0,20400
26.0,20401
26.0,20402
27.0,20403
23.0,20404
23.0,20405
24.0,20406
19.0,20407
19.0,20408
9.0,20412
9.0,20413
9.0,20414
6.0,20416
65.0,30001
5.0,30002
68.0,30005
0.0,10-SMD-1
0.0,10-SMD-2
0.0,11-SMD-1
0.0,11-SMD-2
0.0,12-SMD-1
0.0,12-SMD-2
0.0,13-SMD-1
0.0,13-SMD-2
0.0,14-SMD-1
0.0,14-SMD-2
0.0,17-SMD-1
0.0,17-SMD-2
0.0,18-SMD-1
0.0,41-SMD-1
0.0,18-SMD-2
0.0,19-SMD-1
0.0,19-SMD-2
0.0,21-SMD-1
0.0,21-SMD-2
0.0,34-SMD-1
0.0,34-SMD-2
0.0,36-SMD-1
0.0,36-SMD-2
0.0,37-SMD-1
0.0,37-SMD-2
0.0,38-SMD-1
0.0,38-SMD-2
0.0,39-SMD-1
0.0,39-SMD-2
0.0,3-SMD-1
0.0,3-SMD-2
0.0,40-SMD-1
0.0,40-SMD-2
0.0,41-SMD-2
0.0,42-SMD-1
0.0,42-SMD-2
0.0,43-SMD-1
0.0,43-SMD-2
0.0,45-SMD-1
0.0,45-SMD-2
0.0,47-SMD-1
0.0,47-SMD-2
0.0,48-SMD-1
0.0,48-SMD-2
0.0,49-SMD-1
0.0,49-SMD-2
0.0,51-SMD-1
0.0,51-SMD-2
0.0,58-SMD-1
0.0,58-SMD-2
0.0,5-SMD-1
0.0,5-SMD-2
0.0,60-SMD-1
0.0,60-SMD-2
0.0,62-SMD-1
0.0,62-SMD-2
0.0,62-SMD-3
0.0,62-SMD-4
0.0,6-SMD-1
0.0,6-SMD-2
0.0,8-SMD-1
0.0,8-SMD-2
65.0, 10001
71.0, 10002
65.0, 10005
72.0, 10008
73.0, 10009
21.0, 1001
73.0, 10010
73.0, 10011
73.0, 10012
70.0, 10013
70.0, 10014
65.0, 10015
65.0, 10017
73.0, 10018
68.0, 10019
19.0, 1002
20.0, 1003
20.0, 1004
19.0, 1005
20.0, 1006
20.0, 1007
21.0, 1008
21.0, 1009
19.0, 1010
19.0, 1011
21.0, 1012
21.0, 1013
24.0, 1014
8.0, 1015
21.0, 1016
20.0, 1017
21.0, 1018
20.0, 1019
21.0, 1021
21.0, 1022
21.0, 1026
21.0, 1027
20.0, 1028
20.0, 1029
20.0, 1030
20.0, 1031
20.0, 1032
20.0, 1033
37.0, 11001
37.0, 11002
37.0, 11003
43.0, 11004
28.0, 11005
28.0, 11006
28.0, 11007
43.0, 11008
35.0, 11009
43.0, 11010
43.0, 11011
21.0, 11012
21.0, 11013
23.0, 11014
23.0, 11015
28.0, 11018
28.0, 11019
28.0, 11020
27.0, 11021
28.0, 11022
28.0, 11023
28.0, 11024
28.0, 11025
28.0, 11026
23.0, 11027
23.0, 11028
25.0, 11030
28.0, 11031
28.0, 11032
28.0, 11033
28.0, 11034
44.0, 13001
44.0, 13002
43.0, 13003
43.0, 13004
35.0, 13006
62.0, 13007
44.0, 13008
45.0, 13009
35.0, 13010
35.0, 13011
44.0, 13012
46.0, 13013
46.0, 13014
46.0, 13015
45.0, 13016
48.0, 13017
48.0, 13018
35.0, 13019
59.0, 16001
59.0, 16002
59.0, 16003
59.0, 16004
57.0, 16006
57.0, 16007
70.0, 17001
70.0, 17002
69.0, 17003
69.0, 17004
68.0, 17005
68.0, 17006
71.0, 17007
68.0, 17008
71.0, 17009
9.0, 2001
19.0, 2002
15.0, 2003
19.0, 2004
9.0, 2005
9.0, 2006
9.0, 2008
9.0, 2009
19.0, 2011
20.0, 2012
19.0, 2013
15.0, 2014
9.0, 2016
18.0, 2017
18.0, 2018
19.0, 2020
18.0, 2021
19.0, 2022
19.0, 2023
17.0, 2024
17.0, 2025
18.0, 2026
18.0, 2027
9.0, 3003
9.0, 3004
9.0, 3006
15.0, 3007
15.0, 3008
13.0, 3009
10.0, 3010
16.0, 3011
10.0, 3012
8.0, 3013
10.0, 3014
10.0, 3015
11.0, 3016
13.0, 3017
10.0, 3018
10.0, 3020
15.0, 3021
11.0, 3022
10.0, 3024
11.0, 3026
11.0, 3027
11.0, 3028
10.0, 3029
10.0, 3030
10.0, 3031
10.0, 3032
10.0, 3033
11.0, 3034
11.0, 3036
8.0, 4001
8.0, 4002
8.0, 4003
8.0, 4004
7.0, 4005
8.0, 4006
7.0, 4007
8.0, 4008
5.0, 4009
7.0, 4010
8.0, 4011
8.0, 4012
5.0, 4013
8.0, 4014
8.0, 4015
66.0, 4016
8.0, 4017
66.0, 4018
5.0, 4019
5.0, 4020
8.0, 4021
7.0, 4022
8.0, 4023
7.0, 4026
8.0, 4027
8.0, 4028
8.0, 4029
71.0, 4030
7.0, 4031
6.0, 4032
8.0, 4033
10.0, 4034
8.0, 4035
26.0, 4036
5.0, 4037
5.0, 4038
7.0, 4039
7.0, 4040
7.0, 4041
7.0, 4042
31.0, 4043
7.0, 4044
7.0, 4045
7.0, 4046
7.0, 4047
7.0, 4049
7.0, 4050
7.0, 4051
7.0, 4052
7.0, 4053
5.0, 4054
5.0, 4055
6.0, 4056
64.0, 4057
4.0, 5002
7.0, 4058
7.0, 4059
5.0, 4060
7.0, 4061
7.0, 4062
7.0, 4063
7.0, 4064
7.0, 4065
7.0, 4066
7.0, 4067
7.0, 4068
7.0, 4069
10.0, 4070
8.0, 4071
8.0, 4072
7.0, 4073
6.0, 4076
5.0, 4077
7.0, 4079
7.0, 4080
7.0, 4081
5.0, 4082
5.0, 4083
5.0, 4084
64.0, 4085
7.0, 4086
8.0, 4087
8.0, 4088
8.0, 4089
8.0, 4090
7.0, 4091
8.0, 4092
8.0, 4093
8.0, 4094
8.0, 4095
8.0, 4096
7.0, 4097
7.0, 4098
7.0, 4099
2.0, 5001
4.0, 5003
4.0, 5004
4.0, 5005
3.0, 5006
3.0, 5007
3.0, 5008
4.0, 5009
2.0, 5010
7.0, 5011
7.0, 5012
7.0, 5013
1.0, 5014
4.0, 5015
4.0, 5016
4.0, 5017
4.0, 5018
4.0, 5019
4.0, 5020
4.0, 5022
1.0, 5024
1.0, 5025
4.0, 5026
66.0, 5027
11.0, 5028
1.0, 5029
6.0, 6002
6.0, 6003
32.0, 6004
32.0, 6005
64.0, 6006
32.0, 6007
32.0, 6008
34.0, 6009
34.0, 6010
33.0, 6011
33.0, 6012
33.0, 6013
33.0, 6014
35.0, 6015
33.0, 6016
33.0, 6017
63.0, 6018
63.0, 6019
31.0, 6020
6.0, 6021
6.0, 6022
6.0, 6023
30.0, 6024
6.0, 6025
32.0, 6026
32.0, 6027
32.0, 6028
33.0, 6029
30.0, 6030
34.0, 6031
44.0, 7001
61.0, 7003
65.0, 7004
63.0, 7006
65.0, 7007
61.0, 7008
63.0, 7009
63.0, 7010
45.0, 7011
52.0, 7014
52.0, 7015
61.0, 7016
65.0, 7017
60.0, 7018
60.0, 7019
44.0, 7020
64.0, 7021
52.0, 7022
60.0, 7023
45.0, 7024
45.0, 7025
60.0, 7026
60.0, 7027
60.0, 7028
52.0, 7029
52.0, 7030
43.0, 7031
43.0, 7032
65.0, 7033
61.0, 7034
63.0, 7035
60.0, 7036
64.0, 7037
64.0, 7038
26.0, 8001
26.0, 8002
27.0, 8003
26.0, 8004
26.0, 8005
26.0, 8006
24.0, 8008
25.0, 8009
23.0, 8010
27.0, 8011
24.0, 8012
24.0, 8013
24.0, 8014
23.0, 8015
23.0, 8016
26.0, 8017
26.0, 8018
26.0, 8019
27.0, 8020
30.0, 8021
30.0, 8022
23.0, 8023
23.0, 8024
24.0, 8026
31.0, 8027
24.0, 8028
7.0,20290
24.0, 8031
27.0, 8032
23.0, 8033
28.0, 8034
23.0, 8035
23.0, 8036
26.0, 8037
31.0, 8038
31.0, 8039
23.0, 8040
19.0, 8041
25.0, 8042
23.0, 8043
23.0, 8044
25.0, 8045
25.0, 8046
23.0, 8047
23.0, 8048
23.0, 8049
23.0, 8050
23.0, 8051
21.0, 8052
23.0, 8053
23.0, 8054
67.0, 9001
67.0, 9002
67.0, 9003
66.0, 9004
67.0, 9005
67.0, 9006
67.0, 9007
67.0, 9009
67.0, 9010
9.0,4100
5.0,4102
7.0,4103
7.0,4104
9.0,4106
63.0,4107
5.0,4108
45.0,7039
8.0, 20001
9.0, 20002
10.0, 20003
10.0, 20005
10.0, 20006
8.0, 20007
8.0, 20008
5.0, 20009
7.0, 20010
7.0, 20011
5.0, 20012
9.0, 20013
9.0, 20014
9.0, 20015
6.0, 20016
6.0, 20017
5.0, 20018
5.0, 20019
4.0, 20020
4.0, 20021
65.0, 20026
65.0, 20027
66.0, 20028
66.0, 20029
67.0, 20030
67.0, 20031
67.0, 20032
67.0, 20033
15.0, 20036
15.0, 20037
11.0, 20038
11.0, 20039
10.0, 20040
10.0, 20041
1.0, 20042
1.0, 20043
8.0, 20044
8.0, 20045
8.0, 20046
8.0, 20047
7.0, 20048
7.0, 20049
61.0, 20050
61.0, 20051
69.0, 20052
69.0, 20053
68.0, 20054
68.0, 20055
66.0, 20056
66.0, 20057
7.0, 20060
7.0, 20061
69.0, 20062
69.0, 20063
9.0, 20064
9.0, 20065
4.0, 20066
4.0, 20067
19.0, 20068
19.0, 20069
52.0, 20070
52.0, 20071
48.0, 20072
48.0, 20073
68.0, 20074
68.0, 20075
68.0, 20076
68.0, 20077
8.0, 20117
69.0, 20078
69.0, 20079
68.0, 20080
68.0, 20081
59.0, 20082
59.0, 20083
59.0, 20084
59.0, 20085
6.0, 20088
6.0, 20089
6.0, 20090
6.0, 20091
6.0, 20092
6.0, 20093
33.0, 20094
33.0, 20095
33.0, 20096
33.0, 20097
32.0, 20098
32.0, 20099
31.0, 20100
31.0, 20101
6.0, 20102
52.0, 20104
52.0, 20105
71.0, 20106
71.0, 20107
72.0, 20108
72.0, 20109
26.0, 20110
26.0, 20111
4.0, 20112
4.0, 20113
4.0, 20114
4.0, 20115
9.0, 20116
8.0, 20118
8.0, 20119
8.0, 20120
8.0, 20121
8.0, 20122
9.0, 20123
9.0, 20124
24.0, 20125
24.0, 20126
24.0, 20127
24.0, 20128
24.0, 20129
24.0, 20130
19.0, 20131
19.0, 20132
19.0, 20133
19.0, 20134
26.0, 20135
26.0, 20136
26.0, 20137
6.0, 20138
5.0, 20139
66.0, 20140
5.0, 20141
6.0, 20142
5.0, 20143
6.0, 20144
68.0, 20145
6.0, 20146
33.0, 20147
6.0, 20148
21.0, 20149
21.0, 20150
21.0, 20151
21.0, 20152
21.0, 20153
21.0, 20154
26.0, 20155
26.0, 20156
24.0, 20157
24.0, 20158
26.0, 20159
26.0, 20160
26.0, 20161
25.0, 20162
25.0, 20163
2.0, 20164
2.0, 20165
1.0, 20166
1.0, 20167
11.0, 20168
11.0, 20169
63.0, 20170
63.0, 20171
63.0, 20172
63.0, 20173
63.0, 20174
63.0, 20175
63.0, 20176
63.0, 20177
69.0, 20178
69.0, 20179
69.0, 20180
69.0, 20181
69.0, 20182
69.0, 20183
69.0, 20184
69.0, 20185
68.0, 20186
68.0, 20187
63.0, 20188
63.0, 20189
32.0, 20190
32.0, 20191
33.0, 20192
66.0, 20193
45.0, 20194
45.0, 20195
6.0, 20196
68.0, 20197
68.0, 20198
67.0, 20199
67.0, 20200
65.0, 20201
65.0, 20202
64.0, 20203
64.0, 20204
33.0, 20205
33.0, 20206
68.0, 20207
68.0, 20208
71.0, 20209
71.0, 20210
68.0, 20211
68.0, 20212
68.0, 20213
68.0, 20214
69.0, 20217
69.0, 20218
13.0, 20220
13.0, 20221
13.0, 20222
13.0, 20223
6.0, 20225
69.0, 20226
61.0, 20227
61.0, 20228
62.0, 20229
62.0, 20230
60.0, 20231
60.0, 20232
60.0, 20233
60.0, 20234
21.0, 20235
21.0, 20236
21.0, 20237
21.0, 20238
21.0, 20239
21.0, 20240
20.0, 20241
20.0, 20242
7.0, 20243
7.0, 20244
20.0, 20245
20.0, 20246
65.0, 20247
65.0, 20248
61.0, 20249
61.0, 20250
65.0, 20251
65.0, 20252
9.0,20103
33.0,20219
72.0,20253
72.0,20254
10.0,20255
72.0,20256
72.0,20257
72.0,20258
72.0,20259
72.0,20260
72.0,20261
63.0,20262
63.0,20263
9.0,20264
9.0,20265
9.0,20266
9.0,20267
9.0,20268
9.0,20269
9.0,20270
9.0,20271
9.0,20272
9.0,20273
9.0,20274
9.0,20275
9.0,20276
9.0,20277
63.0,20278
20.0,20279
20.0,20280
9.0,20281
9.0,20282
7.0,20283
7.0,20284
7.0,20285
7.0,20286
7.0,20287
7.0,20288
7.0,20289
5.0,20291
5.0,20292
5.0,20293
5.0,20294
5.0,20295
5.0,20296
21.0,20297
21.0,20298
21.0,20299
21.0,20300
9.0,20301
7.0,20302
7.0,20303
7.0,20304
7.0,20305
6.0,20306
63.0,20307
7.0,20308
9.0,20309
7.0,20310
10.0,20311
9.0,20312
7.0,20313
7.0,20314
7.0,20315
7.0,20316
7.0,20317
7.0,20318
7.0,20319
7.0,20320
7.0,20321
7.0,20322
10.0,20323
10.0,20324
9.0,20325
9.0,20326
9.0,20327
9.0,20328
7.0,20329
7.0,20330
7.0,20331
6.0,20333
6.0,20334
7.0,20336
7.0,20337
7.0,20338
7.0,20339
7.0,20340
7.0,20341
7.0,20342
35.0,20346
35.0,20347
35.0,20348
35.0,20349
35.0,20351
63.0,20352
63.0,20355
63.0,20356
63.0,20357
63.0,20358
63.0,20359
63.0,20360
63.0,20363
63.0,20364
63.0,20365
63.0,20366
63.0,20367
63.0,20368
63.0,20369
10.0,20370
10.0,20371
10.0,20372
10.0,20373
65.0,30001
5.0,30002
68.0,30005
0.0,10-SMD-1
0.0,10-SMD-2
0.0,11-SMD-1
0.0,11-SMD-2
0.0,12-SMD-1
0.0,12-SMD-2
0.0,13-SMD-1
0.0,13-SMD-2
0.0,14-SMD-1
0.0,14-SMD-2
0.0,17-SMD-1
0.0,17-SMD-2
0.0,18-SMD-1
0.0,18-SMD-2
0.0,19-SMD-1
0.0,19-SMD-2
0.0,21-SMD-1
0.0,21-SMD-2
0.0,34-SMD-1
0.0,34-SMD-2
0.0,36-SMD-1
0.0,36-SMD-2
0.0,37-SMD-1
